country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
South Korea,Asia,102582,1729.0,94563.0,6290.0,102.0,2000,34.0,7663999.0,149390.0,51301970
South Sudan,Africa,10119,108.0,9594.0,417.0,1.0,896,10.0,130153.0,11527.0,11290810
Spain,Europe,3270825,75199.0,3038175.0,157451.0,1861.0,69937,1608.0,41884958.0,895586.0,46768236
Sri Lanka,Asia,92303,566.0,88914.0,2823.0,,4297,26.0,2374627.0,110551.0,21479875
State Of Palestine,Asia,238248,2599.0,211521.0,24128.0,197.0,45917,501.0,1530859.0,295038.0,5188683
Sudan,Africa,29661,2028.0,23990.0,3643.0,,665,45.0,231694.0,5195.0,44602643
Suriname,South America,9104,177.0,8585.0,342.0,3.0,15417,300.0,44595.0,75518.0,590525
Swaziland,Africa,17326,667.0,16427.0,232.0,6.0,14821,571.0,172043.0,147164.0,1169056
Sweden,Europe,780018,13402.0,,,284.0,76880,1321.0,7201692.0,709809.0,10145958
Switzerland,Europe,596790,10305.0,544729.0,41756.0,158.0,68584,1184.0,5942810.0,682961.0,8701531
Syria,Asia,18638,1247.0,12492.0,4899.0,,1046,70.0,,,17813358
Taiwan,Asia,1023,10.0,979.0,34.0,,43,,459223.0,19256.0,23848794
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1373,9.0,,,9695349
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60983198
Thailand,Asia,28821,94.0,27379.0,1348.0,1.0,412,1.0,8074112.0,115460.0,69930037
Timor Leste,Asia,512,,170.0,342.0,,383,,40432.0,30242.0,1336961
Togo,Africa,9992,107.0,7770.0,2115.0,,1186,13.0,271443.0,32232.0,8421497
Trinidad And Tobago,North America,7986,142.0,7599.0,245.0,14.0,5693,101.0,108872.0,77608.0,1402852
Tunisia,Africa,251169,8760.0,215920.0,26489.0,298.0,21089,736.0,1096520.0,92066.0,11910153
Turkey,Asia,3240577,31230.0,2975108.0,234239.0,1998.0,38120,367.0,38102747.0,448211.0,85010709
Turks And Caicos Islands,North America,2327,17.0,2203.0,107.0,4.0,59508,435.0,26638.0,681209.0,39104
Uganda,Africa,40820,335.0,40448.0,37.0,,872,7.0,935360.0,19986.0,46799838
UK,Europe,4337696,126615.0,3821179.0,389902.0,615.0,63649,1858.0,121517399.0,1783073.0,68150531
Ukraine,Europe,1662942,32418.0,1307076.0,323448.0,177.0,38195,745.0,8007427.0,183918.0,43538046
United Arab Emirates,Asia,457071,1486.0,440731.0,14854.0,,45804,149.0,37130827.0,3720975.0,9978789
Uruguay,South America,99584,928.0,79410.0,19246.0,306.0,28594,266.0,1335070.0,383347.0,3482666
USA,North America,31033801,563206.0,23509220.0,6961375.0,8681.0,93351,1694.0,400876110.0,1205853.0,332442063
Uzbekistan,Asia,82682,628.0,80799.0,1255.0,23.0,2444,19.0,1377915.0,40733.0,33827598
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1504.0,312426
Venezuela,South America,157943,1577.0,146196.0,10170.0,162.0,5566,56.0,3157788.0,111284.0,28375992
Viet Nam,Asia,2594,35.0,2308.0,251.0,,26,,2598753.0,26521.0,97987233
Wallis And Futuna Islands,Australia/Oceania,385,4.0,44.0,337.0,4.0,34710,361.0,1331.0,119996.0,11092
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,608140
Yemen,Asia,4115,863.0,1657.0,1595.0,23.0,136,28.0,20872.0,689.0,30309649
Zambia,Africa,88012,1200.0,84464.0,2348.0,95.0,4691,64.0,1238169.0,65993.0,18761985
Zimbabwe,Africa,36839,1520.0,34617.0,702.0,13.0,2452,101.0,376520.0,25063.0,15022783
